tweet,location,friends_count,followers_count,statuses_count,tweet_date,retweet_count,likes,hashtags
@Arendes @RoseNyambura_ @HonMoses_Kuria @StateHouseKenya @RailaOdinga @WilliamsRuto @OleItumbi Were you tested for polio before being vaccinated as a kid?,KIAMBU,1923,720,7532,19/04/2021 11:24,0,1,[]
"Ask your parents what they think about these road blocks and BBi, you'll be shocked!!!",KERICHO,515,140,1844,18/04/2021 16:45,0,0,[]
"@ntvkenya So you were also watching, maaajab",NAIROBI,962,388,2743,15/04/2021 22:05,0,6,[]
"@droid254 slandering kales ndio form hii TL...Pale campus nliona all tribes wakifuatana speaking loudly in their mother tougue but sionangi wakiwa called out like Kales....From, Merus, Kambas, Luhyas,kikuyus name them Luos kwanza you would think Luo is teh official language pale campus",NAIROBI,217,249,10839,09/04/2021 05:39,0,1,[]
@ImbayiK A Jubilee supporter acquaintance (who voted three times) admitted that “we did not know we are the ones who would be finished” when I asked him about it. Nilikimya tu.,KAPSABET,1162,4977,142698,18/04/2021 08:48,0,0,[]
@HonMoses_Kuria You mean even their Birth Certificates are from River Road?,KAKAMEGA,805,203,1454,16/04/2021 22:34,1,6,[]
@billya2 @HonMoses_Kuria it is the likes of mweshimiwa who has brought us this shame,KAJIADO,2059,699,6958,19/04/2021 06:12,0,2,[]
"@maelwak @artofrizon @nahashon87 Bbi made it worse.  ....
Never had any love...
41 against 1",KABETE,158,54,4420,10/04/2021 10:39,0,0,[]
@ledamalekina @KenyaGovernors 35% of revenue to counties as contained in the BBI bill 2020 itatoka wapi?,ISIOLO,2616,2282,8008,15/04/2021 10:54,0,2,[]
@ledamalekina @KenyaGovernors BBI will make this worse,ISINYA,395,761,17757,15/04/2021 16:41,0,0,[]
#BREAKING Dozens of officers have been injured in recent days as youth militia burned cars and hurled petrol bombs at police with many fearing a return to tribal and sectarian bloodshed of the sort that plagued the troubled province for 3 decades from the 1960s to the 1990s.,GARISSA,2894,178920,136690,07/04/2021 22:37,4,24,"[{'text': 'BREAKING', 'indices': [0, 9]}]"
"@ItsMutai @Gicherengo When a hyena wants to eat its children, it accuses them of smelling like goats. You only want this law to be passed so that you may be insulated from going to jail. No wonder you support BBI",EMBU,1383,1428,28277,19/04/2021 16:08,0,0,[]
